add_these_pw_job_title_9089,agent_city,agent_firm_name,agent_state,application_type,case_no,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,country_of_citzenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education
,Richmond,"McCandlish Holton, PC",VIRGINIA,,,A-11154-82946,6/3/2011,Denied,,PHILIPPINES,,7/15/2015,65 COURT STREET,ROOM 506B,BROOKLYN,UNITED STATES OF AMERICA,Deputy Executive Director,135000,718 935-4499,,11201,NEW YORK,1800,A,PHILIPPINES,BRONX,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11147-81652,5/27/2011,Denied,H-1B,INDIA,,3/27/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,PISCATAWAY,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11147-81722,5/27/2011,Denied,H-1B,INDIA,,4/21/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,ST LOUIS PARK,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11154-83059,6/3/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,SOMERSET,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11154-83084,6/3/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,SCARBOROUGH,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11154-83115,6/3/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,PHOENIX,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11155-83178,6/4/2011,Denied,H-1B,INDIA,,4/21/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,CHARLOTTE,Bachelor's
,,,,,,A-11231-01031,8/25/2011,Denied,H-1B,INDIA,,10/20/2014,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,19600,201-290-9573,,77845,TEXAS,1994,A,INDIA,NORTH WALES,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11157-83564,6/6/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,DALLAS,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11157-83576,6/6/2011,Denied,H-1B,INDIA,,4/3/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,SUGAR LAND,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11155-83149,6/4/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,JERSEY CITY,Master's
,Buffalo Grove,JP LAW GROUP,ILLINOIS,,,A-13297-04963,10/26/2013,Certified,F-1,SOUTH KOREA,,5/4/2015,8526 GOLF ROAD,#J,NILES,UNITED STATES OF AMERICA,President,7,847-966-8990,,60714,ILLINOIS,2005,A,SOUTH KOREA,GLENVIEW,High School
,Richmond,"McCandlish Holton, PC",VIRGINIA,,,A-11145-80955,6/2/2011,Denied,,PHILIPPINES,,5/12/2015,65 COURT STREET,ROOM 506B,BROOKLYN,UNITED STATES OF AMERICA,Deputy Executive Director,135000,718 935-4499,,11201,NEW YORK,1800,A,PHILIPPINES,ELMHURST,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11137-78982,5/17/2011,Denied,H-1B,INDIA,,5/6/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,SAN ANTONIO,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11137-78867,5/17/2011,Denied,H-1B,INDIA,,3/17/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,WILMINGTON,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11138-79187,5/18/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,CHARLOTTE,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11137-78996,5/17/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,MINNEAPOLIS,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11137-78974,5/17/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,HOUSTON,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11138-79340,5/18/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,DES PLAINES,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11136-78607,5/16/2011,Denied,H-1B,INDIA,,4/27/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,WOODBRIDGE,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11136-78564,5/16/2011,Denied,H-1B,INDIA,,5/5/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,PHOENIX,Bachelor's
,Richmond,"McCandlish Holton, PC",VIRGINIA,,,A-11136-78582,5/24/2011,Denied,,POLAND,,6/29/2015,65 COURT STREET,ROOM 506B,BROOKLYN,UNITED STATES OF AMERICA,Deputy Executive Director,135000,718 935-4499,,11201,NEW YORK,1800,A,POLAND,OAKLAND GARDENS,Master's
,Richmond,"McCandlish Holton, PC",VIRGINIA,,,A-11137-78681,5/24/2011,Certified,,DOMINICAN REPUBLIC,,8/11/2015,65 COURT STREET,ROOM 506B,BROOKLYN,UNITED STATES OF AMERICA,Deputy Executive Director,135000,718 935-4499,,11201,NEW YORK,1800,A,DOMINICAN REPUBLIC,BRONX,Bachelor's
,NEW YORK,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",NEW YORK,,,A-12240-94207,8/24/2012,Certified,H-1B,FRANCE,,6/16/2015,200 WEST STREET,,NEW YORK,UNITED STATES OF AMERICA,"VICE PRESIDENT, HUMAN CAPITAL MANAGEMENT",10941,(212) 902-1000,,10282,NEW YORK,1869,N,FRANCE,NEW YORK,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11136-78577,5/16/2011,Denied,H-1B,INDIA,,4/23/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,HACKENSACK,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11136-78644,5/16/2011,Denied,H-1B,INDIA,,4/24/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,CHARLOTTE,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11136-78647,5/16/2011,Denied,H-1B,INDIA,,3/24/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,HOUSTON,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11139-79485,5/19/2011,Denied,H-1B,INDIA,,4/24/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,EAST HARTFORD,Master's
,Houston,Berry Appleman & Leiden LLP,TEXAS,,,A-11180-89272,7/3/2012,Denied,H-1B,MALAYSIA,,10/15/2014,ONE AT&T PLAZA,208 S. AKARD STREET,DALLAS,UNITED STATES OF AMERICA,Foreign National Account Manager,266590,800-403-3302,,75202,TEXAS,1897,A,MALAYSIA,CERRITOS,Bachelor's
,Santa Clara,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CALIFORNIA,,,A-11194-92504,7/15/2011,Denied,H-1B,INDIA,,10/15/2014,170 WEST TASMAN DRIVE,MAIL STOP: SJC 05/1/4,SAN JOSE,UNITED STATES OF AMERICA,Global Immigration Manager,68000,408-526-4000,,95134,CALIFORNIA,1984,A,INDIA,SAN JOSE,Bachelor's
,KEENE,"LISA M. JACOBS, ATTORNEY AT LAW",NEW HAMPSHIRE,,,A-11193-92042,7/8/2011,Denied,H-1B,UNITED KINGDOM,,5/15/2015,ON THE COMMON 1 TOWN DUMP RD P.O. BOX 122,,ROYALSTON,UNITED STATES OF AMERICA,DIRECTOR,17,(978) 249-3505,,1368,MASSACHUSETTS,1989,A,UNITED KINGDOM,ROYALSTON,Bachelor's
,,,,,,A-11188-91167,7/7/2011,Denied,H-1B,INDIA,,10/14/2014,1305 CHERRINGTON PARKWAY,"BUILDING 210, SUITE 400",MOON TOWNSHIP,UNITED STATES OF AMERICA,Manager - Immigration,489,412-787-9553,,15108,PENNSYLVANIA,2008,Y,INDIA,MERRILLVILLE,Master's
,Austin,"Azarmehr & Associates, P.C.",TEXAS,,,A-11179-89082,6/29/2011,Denied,H-1B,MEXICO,,5/20/2015,104 HAWN STREET,,ATHENS,UNITED STATES OF AMERICA,Director of Human Resources,420,903-677-6900,,75751,TEXAS,1920,A,MEXICO,ATHENS,Bachelor's
,Austin,"Azarmehr & Associates, P.C.",TEXAS,,,A-11179-89104,6/29/2011,Denied,H-1B,MEXICO,,8/11/2015,104 HAWN STREET,,ATHENS,UNITED STATES OF AMERICA,Director of Human Resources,420,903-677-6900,,75751,TEXAS,1920,A,MEXICO,ATHENS,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11084-65911,3/25/2011,Denied,H-1B,INDIA,,3/17/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,BENTONVILLE,Bachelor's
,Dallas,"Ramirez & Associates, P.C.",TEXAS,,,A-12140-64553,6/15/2012,Denied,H-1B,MEXICO,,10/28/2014,3807 ROSS AVE.,,DALLAS,UNITED STATES OF AMERICA,"DISD, Strategic Recruitment Manager",21000,972-925-4244,,75204,TEXAS,1947,A,MEXICO,DALLAS,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11077-64128,3/18/2011,Denied,H-1B,INDIA,,4/14/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,PHOENIX,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11081-64744,3/22/2011,Denied,L-1,INDIA,,4/14/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,PHOENIX,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11087-66452,3/28/2011,Denied,H-1B,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,AVENEL,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11109-72184,4/19/2011,Denied,H-1B,INDIA,,4/27/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,11300,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,COVINA,Bachelor's
,,,,,,A-11221-98560,8/30/2011,Denied,L-1,INDIA,,1/15/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,19600,201-290-9573,,77845,TEXAS,1994,A,INDIA,WESTBOROUGH,Master's
,Maineville,"The Khosla Immigration Law Group, P.C.",OHIO,,,A-11326-19802,6/14/2013,Certified-Expired,H-1B,INDIA,,1/15/2015,801 W. MAIN STREET,SUITE B218,PEORIA,UNITED STATES OF AMERICA,Company Administrator,80,309-495-7266,,61606,ILLINOIS,1991,A,INDIA,PEORIA,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11076-63577,3/17/2011,Denied,H-1B,INDIA,,4/27/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,CHARLOTTE,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11076-63761,3/17/2011,Denied,H-1B,INDIA,,6/2/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,LAKE HIAWATHA,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11073-62665,3/14/2011,Denied,L-1,INDIA,,4/13/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,GLEN ALLEN,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11075-63285,3/16/2011,Denied,H-1B,INDIA,,6/4/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,GLEN ALLEN,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11078-64165,3/19/2011,Denied,H-1B,INDIA,,6/4/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,ROCKY HILL,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11075-63312,3/16/2011,Denied,H-1B,INDIA,,4/14/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,BELLEVUE,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11081-64724,3/22/2011,Denied,H-1B,INDIA,,6/4/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,SOUTH PORTLAND,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11073-62701,3/14/2011,Denied,H-1B,INDIA,,6/4/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,SAN BRUNO,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11076-63778,3/17/2011,Denied,H-1B,INDIA,,4/27/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,HARTFORD,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11077-64049,3/18/2011,Denied,H-1B,INDIA,,5/7/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,ROCKY HILL,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11077-64053,3/18/2011,Denied,H-1B,INDIA,,5/6/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,ATLANTA,Bachelor's
,NEW YORK,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",NEW YORK,,,A-12332-17497,11/21/2012,Certified-Expired,H-1B,SOUTH KOREA,,4/6/2015,200 WEST STREET,,NEW YORK,UNITED STATES OF AMERICA,"VICE PRESIDENT, HUMAN CAPITAL MANAGEMENT",10941,(212) 902-1000,,10282,NEW YORK,1869,A,SOUTH KOREA,NEW YORK,Doctorate
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11073-62669,3/14/2011,Denied,H-1B,INDIA,,4/14/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,ROCKY HILL,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11087-66378,3/28/2011,Denied,H-1B,INDIA,,4/14/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,IRVING,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11087-66384,3/28/2011,Denied,H-1B,INDIA,,5/21/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,MIDDLETOWN,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11087-66463,3/28/2011,Denied,H-1B,INDIA,,4/14/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,CHARLOTTE,Master's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11077-64105,3/18/2011,Denied,H-1B,INDIA,,4/17/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,JERSEY CITY,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11080-64317,3/21/2011,Denied,H-1B,INDIA,,4/14/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,PLANO,Bachelor's
,,,,,,A-14099-59104,4/9/2014,Denied,,SOUTH KOREA,,8/6/2015,410 SUNSET BLVD,,WEST COLUMBIA,UNITED STATES OF AMERICA,Assistant Complex Manager,750,803-794-8440,,29169,SOUTH CAROLINA,1975,A,SOUTH KOREA,PYEONGTAEK-SI,None
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11080-64397,3/21/2011,Denied,H-1B,INDIA,,4/17/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,MIDDLETOWN,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11080-64434,3/21/2011,Denied,H-1B,INDIA,,4/24/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,LOVELAND,Bachelor's
,,,,,,A-11231-00913,9/7/2011,Denied,L-1,INDIA,,3/5/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,19600,201-290-9573,,77845,TEXAS,1994,N,INDIA,WILMINGTON,Bachelor's
,San Diego,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CALIFORNIA,,,A-11231-00935,8/29/2011,Denied,H-1B,INDIA,,1/22/2015,1700 TECHNOLOGY DRIVE,,SAN JOSE,UNITED STATES OF AMERICA,Senior Immigration Specialist - QUALCOMM HR,17500,408-773-5384,,95110,CALIFORNIA,2011,N,INDIA,SAN DIEGO,Master's
,Orlando,International Immigration Law Firm,FLORIDA,,,A-11220-98285,10/4/2012,Denied,F-1,NEPAL,,8/13/2015,"4953 CAMBRIDGE BLVD, APT # 102",,PALM HARBOR,UNITED STATES OF AMERICA,President,3,813-469-3497,,34685,FLORIDA,2009,A,NEPAL,RIDGEWOOD,Master's
,,,,,,A-11228-99925,8/18/2011,Denied,H-1B,INDIA,,3/5/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,19600,201-290-9573,,77845,TEXAS,1994,N,INDIA,WAYNE,Bachelor's
,,,,,,A-11224-99388,9/12/2011,Denied,H-1B,INDIA,,10/20/2014,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,19600,201-290-9573,,77845,TEXAS,1994,A,INDIA,WILMINGTON,Master's
,Houston,Berry Appleman & Leiden LLP,TEXAS,,,A-11229-00289,4/5/2013,Certified-Expired,H-1B,CANADA,,10/2/2014,ONE AT&T PLAZA,208 S. AKARD STREET,DALLAS,UNITED STATES OF AMERICA,Lead Foreign National Account Manager,256420,800-403-3302,,75202,TEXAS,1897,A,BANGLADESH,AUSTIN,Master's
,New York,Law Office of Evelyn Tossas Tucker,NEW YORK,,,A-12143-65077,7/16/2012,Denied,B-2,VENEZUELA,,10/16/2014,76 W85TH ST UNIT B,,NEW YORK,UNITED STATES OF AMERICA,President,1,2123621510,,10024,NEW YORK,2008,A,VENEZUELA,NEW YORK,High School
,,,,,,A-11223-99148,8/22/2011,Denied,H-1B,INDIA,,3/5/2015,211 QUALITY CIRCLE,,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,19600,201-290-9573,,77845,TEXAS,1994,N,INDIA,MANCHESTER,Bachelor's
,San Francisco,Berry Appleman & Leiden LLP,CALIFORNIA,,,A-11235-01637,9/9/2011,Denied,H-1B,PAKISTAN,,1/15/2015,500 ORACLE PARKWAY,,REDWOOD SHORES,UNITED STATES OF AMERICA,Immigration Specialist,105000,650-506-7000,,94065,CALIFORNIA,1977,A,PAKISTAN,FREMONT,Bachelor's
,New York,"Sharma Yaskhi & Ishar, LLP",NEW YORK,,,A-11345-23386,12/28/2011,Denied,H-1B,INDIA,,10/23/2014,400 PINNER WEALD WAY,SUITE 101,CARY,UNITED STATES OF AMERICA,PRESIDENT,15,732-623-9700,,27513,NORTH CAROLINA,2005,A,INDIA,RANCHO CORDOVA,Master's
,Dallas,"Ramirez & Associates, P.C.",TEXAS,,,A-12142-64697,5/22/2012,Denied,H-1B,MEXICO,,5/20/2015,3807 ROSS AVE.,,DALLAS,UNITED STATES OF AMERICA,"DISD, Strategic Recruitment Manager",21000,972-925-4244,,75204,TEXAS,1947,A,MEXICO,DALLAS,Bachelor's
,Spring,,TEXAS,,,A-12032-35347,2/1/2012,Denied,H-1B,MEXICO,,6/22/2015,15010 ALDINE WESTFIELD ROAD,,HOUSTON,UNITED STATES OF AMERICA,Director of Human Resources,7150,(281) 985-6304,,77032,TEXAS,1935,A,MEXICO,HOUSTON,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11080-64553,3/21/2011,Denied,H-1B,INDIA,,4/21/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,NORTH WALES,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11081-64731,3/22/2011,Denied,H-1B,INDIA,,5/12/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,CINCINNATI,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11087-66616,3/28/2011,Denied,H-1B,INDIA,,5/6/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,MARLBOROUGH,Bachelor's
,"Alpharetta,","Gokare & Sikal, LLC",GEORGIA,,,A-11075-63364,4/19/2011,Denied,H-1B,INDIA,,12/4/2014,5050 RESEARCH COURT,SUITE 100,SUWANEE,UNITED STATES OF AMERICA,Vice President,175,770 368 0208,1001,30024,GEORGIA,1997,A,INDIA,EXTON,Bachelor's
,San Francisco,Simmons & Ungar LLP,CALIFORNIA,,,A-11119-74744,4/29/2011,Denied,H-1B,INDIA,,4/14/2015,"6100 TENNYSON PKWY, SUITE 200",,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,113000,(469) 229-9489,,75024,TEXAS,1981,A,INDIA,ROCKY HILL,Bachelor's
,Richmond,"McCandlish Holton, PC",VIRGINIA,,,A-11110-72445,5/24/2011,Denied,,PHILIPPINES,,5/15/2015,65 COURT STREET,ROOM 506B,BROOKLYN,UNITED STATES OF AMERICA,Deputy Executive Director,135000,718 935-4499,,11201,NEW YORK,1800,A,PHILIPPINES,BRONX,Master's
